Year,Food Volume,Food Category
2023,13295.2,Grains
2022,12117.1,Grains
2021,10851,Grains
2020,11355.4,Grains
2019,11076.5,Grains
2018,11810.7,Grains
2017,11505.7,Grains
2016,10671.4,Grains
2015,10682.8,Grains
2014,11077.7,Grains
2013,12763.1,Grains
2012,10414.9,Grains
2011,8368.1,Grains
2010,8447.4,Grains
2023,8746.8,Live meat animals
2022,8134.9,Live meat animals
2021,8440.9,Live meat animals
2020,7397.3,Live meat animals
2019,7139.2,Live meat animals
2018,7124.5,Live meat animals
2017,7363.3,Live meat animals
2016,7336.2,Live meat animals
2015,7661.2,Live meat animals
2014,7232.6,Live meat animals
2013,6947.3,Live meat animals
2012,7909.8,Live meat animals
2011,7872.7,Live meat animals
2010,7997.6,Live meat animals
2023,2160.7,Meats
2022,2218.9,Meats
2021,2076.9,Meats
2020,1886.9,Meats
2019,1795.5,Meats
2018,1821.2,Meats
2017,1847.8,Meats
2016,1824.8,Meats
2015,1942.8,Meats
2014,1720.2,Meats
2013,1400.5,Meats
2012,1336.6,Meats
2011,1270.1,Meats
2010,1371.5,Meats
2023,517.3,Nuts
2022,550.1,Nuts
2021,589.2,Nuts
2020,513.8,Nuts
2019,534.3,Nuts
2018,553.8,Nuts
2017,544.8,Nuts
2016,514.1,Nuts
2015,507.3,Nuts
2014,472.7,Nuts
2013,425.8,Nuts
2012,441.2,Nuts
2011,357.6,Nuts
2010,357.7,Nuts
2023,4744.7,Sugar and candy
2022,4869.4,Sugar and candy
2021,4504.9,Sugar and candy
2020,4919.9,Sugar and candy
2019,4271.9,Sugar and candy
2018,4147.3,Sugar and candy
2017,4076.9,Sugar and candy
2016,4333.6,Sugar and candy
2015,4414.4,Sugar and candy
2014,4232.1,Sugar and candy
2013,4018.3,Sugar and candy
2012,4091.9,Sugar and candy
2011,4521.3,Sugar and candy
2010,3959.3,Sugar and candy
2023,7984.5,Vegetable oils
2022,7257.9,Vegetable oils
2021,6718.8,Vegetable oils
2020,6219.9,Vegetable oils
2019,6149.8,Vegetable oils
2018,6281.9,Vegetable oils
2017,6399.9,Vegetable oils
2016,6198.2,Vegetable oils
2015,6017.8,Vegetable oils
2014,7507.7,Vegetable oils
2013,6278.5,Vegetable oils
2012,5012.8,Vegetable oils
2011,5229.4,Vegetable oils
2010,4583.6,Vegetable oils
2023,13838.9,Vegetables
2022,13694.8,Vegetables
2021,13318.2,Vegetables
2020,12257.7,Vegetables
2019,11743.6,Vegetables
2018,11645.6,Vegetables
2017,11053.6,Vegetables
2016,10573.1,Vegetables
2015,9717.4,Vegetables
2014,9560.5,Vegetables
2013,8976.3,Vegetables
2012,8614.3,Vegetables
2011,8429.5,Vegetables
2010,8076.2,Vegetables
2023,3740.9,Other edible products
2022,3583,Other edible products
2021,3036.6,Other edible products
2020,2652.4,Other edible products
2019,2406.1,Other edible products
2018,2385.8,Other edible products
2017,2216.5,Other edible products
2016,2010.5,Other edible products
2015,1971.9,Other edible products
2014,2062.2,Other edible products
2013,1948.8,Other edible products
2012,1892.6,Other edible products
2011,1840.1,Other edible products
2010,1653.8,Other edible products
